media_type,sequence,file_name,classification,native_width_px,native_height_px,duration_seconds,size_bytes,sha256,public_source_url
photo,1,photos/01_DSC01438-HDR.jpg,outdoor_or_landscape,2560,1707,,747007,5a932a041e6591f2f07e385794eaa45ea628f1575b647076fef783bac048bae6,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01438-HDR.jpg
photo,2,photos/02_DSC01423-HDR.jpg,outdoor_or_landscape,2560,1707,,1133169,2571accf0ca85ca34beaaa221fb29658e14f9d34d59082e0775f835bd91a36fb,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01423-HDR.jpg
photo,3,photos/03_DSC01443-HDR.jpg,outdoor_or_landscape,2560,1707,,600962,f3f58cbf8da58b28f12d1c5157f1d040821f211cf37964ff8ae37989ddc72f59,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01443-HDR.jpg
photo,4,photos/04_IMG_7266.jpeg,outdoor_or_landscape,2560,1676,,610310,0e48004fcb27137697da39ed2ffe843850447d43143083506b99f7bbc712355e,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/IMG_7266.jpeg
photo,5,photos/05_DSC01373-HDR.jpg,outdoor_or_landscape,2560,1707,,1057421,8a76624f9797682f075aa3cae285c27495592e91caa4cb94225963c18d3fcefe,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01373-HDR.jpg
photo,6,photos/06_DSC01433-HDR.jpg,outdoor_or_landscape,2560,1707,,802984,fad27fd64cb4f062b53e492f995059e9e1e6a90ebcd8a0c088117f4f113aa189,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01433-HDR.jpg
photo,7,photos/07_HIGHBAY.jpeg,other_photograph,2560,1707,,276379,3ce8bb2fee4d818c0cf5975a1277b69d48de318ed7b119cbddb1687ef7912ca8,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/HIGHBAY.jpeg
photo,8,photos/08_DSC01213-HDR-Edit.jpg,other_photograph,2560,1734,,366711,0f0c5ee8b56c0f6fa01b16027204f86bf54119c91d90395237786e971d1f3f0d,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01213-HDR-Edit.jpg
photo,9,photos/09_blob-f2ae67c.png,outdoor_or_landscape,2560,1707,,9381242,d46f4f22f5bc61b1cfa4c6dff417b5f28a4ee0f3cdeeec87b3c555b06501563a,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/blob-f2ae67c.png
photo,10,photos/10_blob-731a700.png,other_photograph,2560,1703,,336395,6b3a902df56d165ddfffc023998083344edf3dbc1e72718857dfed43d377291c,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/blob-731a700.png
photo,11,photos/11_blob-8a99f3b.png,other_photograph,2560,1707,,116153,e62950714c109e2d4e4d7ab7cba487f91afc0ebece7db7a1acc7e60348328d4c,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/blob-8a99f3b.png
photo,12,photos/12_shutterstock_698609293-800x430.jpg,other_photograph,800,430,,44735,bf45821668c6f36d69b470dc63de3095b062c8666ab675a73899dfb3e58de478,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/shutterstock_698609293-800x430.jpg
photo,13,photos/13_thumbnail_WS-W92313.jpg,outdoor_or_landscape,1920,1920,,417603,c390c1093228c077e7e4e74d6f245ad0777d75fb95980c8618de50babd922701,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/thumbnail_WS-W92313.jpg
photo,14,photos/14_10-Specializations-Comm-Electricians.jpeg,other_photograph,2560,1707,,356299,154addf0ccec681ecc67e7d5ef832c4f0f7b709a1bbc2d33788d4cd2bc68fdfd,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/10-Specializations-Comm-Electricians.jpeg
photo,15,photos/15_PARKING_LOT_DOWNLOADED.jpeg,outdoor_or_landscape,2560,1705,,483288,9a90dc059098eca8a8030a4a6adad8611969ec52fe7bd0e3918003a6fbe09953,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/PARKING%20LOT%20DOWNLOADED.jpeg
photo,16,photos/16_garage_DOWNLOAD.jpeg,other_photograph,2560,1707,,456863,c10e79a3c4d3e392112fb6c54db12f3c5843e6576847ee4494861718a24aa0c7,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/garage%20DOWNLOAD.jpeg
photo,17,photos/17_garage_light_yw.jpeg,other_photograph,2560,853,,369019,3ad74285c8a7008af8c87df68e66ef528f4268ca8b6e0652843c08f30121aed5,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/garage%20light%20yw.jpeg
photo,18,photos/18_untitled_81_of_301_.jpg,outdoor_or_landscape,2560,1709,,824168,39b89b5a5b9b522f02509693f8a9ed0c9e6aa745d7b51fa2b47956f807c29e0c,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/untitled%20(81%20of%20301).jpg
video,1,videos/Elighting_Drone_Video_3_1080p.mp4,outdoor_or_landscape,1920,1080,74.368,45451872,26d99829ef97b580e36858701fc1eb0148752d1f36aacdf9ee34d04ceee44547,https://vimeo.com/915644789/c823512cee
