photo_number,site_asset_number,file_name,native_width_px,native_height_px,file_size_bytes,sha256,original_public_url
1,2,01_DSC01438-HDR.jpg,2560,1707,747007,5a932a041e6591f2f07e385794eaa45ea628f1575b647076fef783bac048bae6,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01438-HDR.jpg
2,3,02_DSC01423-HDR.jpg,2560,1707,1133169,2571accf0ca85ca34beaaa221fb29658e14f9d34d59082e0775f835bd91a36fb,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01423-HDR.jpg
3,4,03_DSC01443-HDR.jpg,2560,1707,600962,f3f58cbf8da58b28f12d1c5157f1d040821f211cf37964ff8ae37989ddc72f59,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01443-HDR.jpg
4,5,04_IMG_7266.jpeg,2560,1676,610310,0e48004fcb27137697da39ed2ffe843850447d43143083506b99f7bbc712355e,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/IMG_7266.jpeg
5,6,05_DSC01373-HDR.jpg,2560,1707,1057421,8a76624f9797682f075aa3cae285c27495592e91caa4cb94225963c18d3fcefe,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01373-HDR.jpg
6,7,06_DSC01433-HDR.jpg,2560,1707,802984,fad27fd64cb4f062b53e492f995059e9e1e6a90ebcd8a0c088117f4f113aa189,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01433-HDR.jpg
7,8,07_HIGHBAY.jpeg,2560,1707,276379,3ce8bb2fee4d818c0cf5975a1277b69d48de318ed7b119cbddb1687ef7912ca8,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/HIGHBAY.jpeg
8,9,08_DSC01213-HDR-Edit.jpg,2560,1734,366711,0f0c5ee8b56c0f6fa01b16027204f86bf54119c91d90395237786e971d1f3f0d,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/DSC01213-HDR-Edit.jpg
9,11,09_blob-f2ae67c.png,2560,1707,9381242,d46f4f22f5bc61b1cfa4c6dff417b5f28a4ee0f3cdeeec87b3c555b06501563a,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/blob-f2ae67c.png
10,12,10_blob-731a700.png,2560,1703,336395,6b3a902df56d165ddfffc023998083344edf3dbc1e72718857dfed43d377291c,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/blob-731a700.png
11,13,11_blob-8a99f3b.png,2560,1707,116153,e62950714c109e2d4e4d7ab7cba487f91afc0ebece7db7a1acc7e60348328d4c,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/blob-8a99f3b.png
12,14,12_shutterstock_698609293-800x430.jpg,800,430,44735,bf45821668c6f36d69b470dc63de3095b062c8666ab675a73899dfb3e58de478,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/shutterstock_698609293-800x430.jpg
13,15,13_thumbnail_WS-W92313.jpg,1920,1920,417603,c390c1093228c077e7e4e74d6f245ad0777d75fb95980c8618de50babd922701,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/thumbnail_WS-W92313.jpg
14,16,14_10-Specializations-Comm-Electricians.jpeg,2560,1707,356299,154addf0ccec681ecc67e7d5ef832c4f0f7b709a1bbc2d33788d4cd2bc68fdfd,https://img1.wsimg.com/isteam/ip/3df704df-7595-4061-ae6a-9300ff99047a/10-Specializations-Comm-Electricians.jpeg
